ENTRY,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
2540,Citra Ass Down,Against The Grain Brewery,"Louisville, KY",American IPA,16 oz.,8.20%,68
2539,The Brown Note,Against The Grain Brewery,"Louisville, KY",American Brown Ale,16 oz.,5.00%,20
2538,Neomexicanus Native,Crazy Mountain Brewing Company,"Edwards, CO",American Pale Ale (APA),12 oz.,6.00%,46
2537,Monkey Dancing On A Razor Blade,SlapShot Brewing Company,"Chicago, IL",Belgian IPA,24 oz.,8.50%,N/A
2536,Tripel Deke,SlapShot Brewing Company,"Chicago, IL",Tripel,24 oz.,8.20%,N/A
2535,Vinyl Frontier,Mikerphone Brewing,"Chicago, IL",American Double / Imperial IPA,24 oz.,8.30%,N/A
2534,Disco Superfly,Mikerphone Brewing,"Chicago, IL",American IPA,24 oz.,8.00%,N/A
2533,Misty Mountain Hop,Mikerphone Brewing,"Chicago, IL",American IPA,24 oz.,7.50%,N/A
2532,One-Hit Wonderful,Mikerphone Brewing,"Chicago, IL",Belgian IPA,24 oz.,7.50%,N/A
2531,En Parfaite Harmonie,Mikerphone Brewing,"Chicago, IL",Saison / Farmhouse Ale,24 oz.,6.50%,N/A
2530,Daft Funk,Mikerphone Brewing,"Chicago, IL",Berliner Weissbier,24 oz.,4.30%,8
2529,Love In An Ellavator,Mikerphone Brewing,"Chicago, IL",American IPA,24 oz.,7.50%,N/A
2528,Spin Doctor,Mikerphone Brewing,"Chicago, IL",American Pale Ale (APA),24 oz.,5.30%,N/A
2527,OktoberFiesta,Freetail Brewing Company,"San Antonio, TX",,12 oz.,5.30%,27
2526,Texicali,Freetail Brewing Company,"San Antonio, TX",American Brown Ale,12 oz.,6.50%,33
2525,Pinata Protest,Freetail Brewing Company,"San Antonio, TX",Witbier,12 oz.,6.00%,N/A
2524,Bat Outta Helles,Freetail Brewing Company,"San Antonio, TX",Munich Helles Lager,12 oz.,4.20%,20
2523,Original,Freetail Brewing Company,"San Antonio, TX",American Amber / Red Ale,12 oz.,6.80%,N/A
2522,Rye Wit,Freetail Brewing Company,"San Antonio, TX",Witbier,12 oz.,4.20%,10
2521,Soul Doubt,Freetail Brewing Company,"San Antonio, TX",American IPA,12 oz.,5.90%,70
2520,Yo Soy Un Berliner,Freetail Brewing Company,"San Antonio, TX",Berliner Weissbier,12 oz.,4.40%,5
2519,Bimini Twist,3 Daughters Brewing,"St Petersburg, FL",American IPA,12 oz.,7.00%,82
2518,Beach Blonde,3 Daughters Brewing,"St Petersburg, FL",American Blonde Ale,12 oz.,5.00%,N/A
2517,Rod Bender Red,3 Daughters Brewing,"St Petersburg, FL",American Amber / Red Ale,12 oz.,5.90%,N/A
2516,Farmer's Daughter Blonde,Red Shedman Farm Brewery and Hop...,"Mt. Airy, MD",American Blonde Ale,16 oz.,5.10%,17
2515,Pump House IPA,Red Shedman Farm Brewery and Hop...,"Mt. Airy, MD",American IPA,16 oz.,5.50%,45
2514,Suicide Blonde IPA,Red Shedman Farm Brewery and Hop...,"Mt. Airy, MD",Belgian IPA,16 oz.,7.00%,N/A
2513,Vanilla Porter,Red Shedman Farm Brewery and Hop...,"Mt. Airy, MD",American Porter,16 oz.,4.70%,25
2512,Honey Rye,Red Shedman Farm Brewery and Hop...,"Mt. Airy, MD",Rye Beer,16 oz.,5.80%,18
2511,Long Leaf,Appalachian Mountain Brewery,"Boone, NC",American IPA,16 oz.,7.10%,75
2510,Honey Badger Blonde,Appalachian Mountain Brewery,"Boone, NC",American Blonde Ale,16 oz.,4.70%,19
2509,Porter (a/k/a Black Gold Porter),Appalachian Mountain Brewery,"Boone, NC",American Porter,16 oz.,6.00%,23
2508,Jalapeno Pale Ale,Birdsong Brewing Company,"Charlotte, NC",American Pale Ale (APA),16 oz.,5.50%,45
2507,Double Duckpin,Union Craft Brewing,"Baltimore, MD",American Double / Imperial IPA,12 oz.,8.50%,90
2506,Old Pro,Union Craft Brewing,"Baltimore, MD",Gose,12 oz.,4.20%,10
2505,Abbey's Single (2015- ),Destihl Brewery,"Bloomington, IL",Abbey Single Ale,12 oz.,4.90%,22
2504,Cherry Doppelbock,Brewery Vivant,"Grand Rapids, MI",Doppelbock,16 oz.,6.50%,N/A
2503,Hop A-Peel,Atwater Brewery,"Detroit, MI",American Double / Imperial IPA,16 oz.,7.50%,115
2502,Vanilla Java Porter,Atwater Brewery,"Detroit, MI",American Porter,16 oz.,5.50%,12
2501,Hopalicious,Ale Asylum,"Madison, WI",American Pale Ale (APA),12 oz.,5.70%,N/A
2500,Tropical Saison,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,6.50%,N/A
2499,Beach Patrol,Brewery Vivant,"Grand Rapids, MI",Witbier,16 oz.,6.50%,N/A
2498,Nuit Serpent,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,5.00%,N/A
2497,Wobble,Two Brothers Brewing Company,"Warrenville, IL",American IPA,16 oz.,6.30%,69
2496,Cold Press,Bent Paddle Brewing Company,"Duluth, MN",American Black Ale,12 oz.,6.00%,N/A
2495,Michelada,Atwater Brewery,"Detroit, MI",Fruit / Vegetable Beer,16 oz.,5.20%,N/A
2494,Oberon,Bell's Brewery,"Kalamazoo, MI",American Pale Wheat Ale,12 OZ.,5.80%,N/A
2493,I.P. Eh!,Latitude 42 Brewing Company,"Portage, MI",American IPA,12 oz.,6.80%,N/A
2492,Schoolhouse Honey,Latitude 42 Brewing Company,"Portage, MI",American Amber / Red Ale,12 oz.,5.00%,N/A
2491,10 Degrees of Separation,Latitude 42 Brewing Company,"Portage, MI",English Brown Ale,12 oz.,5.50%,N/A
2490,Professor Black,Blue Owl Brewing,"Austin, TX",American Stout,12 oz.,???,N/A
2489,Little Boss,Blue Owl Brewing,"Austin, TX",American Pale Wheat Ale,12 oz.,???,N/A
2488,Van Dayum!,Blue Owl Brewing,"Austin, TX",American Amber / Red Ale,12 oz.,???,N/A
2487,Spirit Animal,Blue Owl Brewing,"Austin, TX",American Pale Ale (APA),12 oz.,???,N/A
2486,Baby Daddy Session IPA,Speakasy Ales & Lagers,"San Francisco, CA",American IPA,12 oz.,4.70%,35
2485,Saddle Bronc Brown Ale,Black Tooth Brewing Company,"Sheridan, WY",American Brown Ale,12 oz.,4.80%,16
2484,Bomber Mountain Amber Ale,Black Tooth Brewing Company,"Sheridan, WY",American Amber / Red Ale,12 oz.,4.60%,20
2483,Hard Cider,Hopworks Urban Brewery,"Portland, OR",Cider,16 oz.,6.80%,N/A
2482,Totally Radler,Hopworks Urban Brewery,"Portland, OR",Radler,16 oz.,2.70%,21
2481,Paris,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,9.00%,N/A
2480,Healani,James Page Brewing Company,"Stevens Point, WI",Hefeweizen,12 oz.,4.50%,N/A
2479,Jammer,Sixpoint Craft Ales,"Brooklyn, NY",Gose,12 oz. Slimline,4.20%,16
2478,Pale Alement,Burn 'Em Brewing,"Michigan City, IN",American Pale Ale (APA),12 oz.,5.50%,40
2477,Lil' Brainless Raspberries,Epic Brewing,"Denver, CO",Fruit / Vegetable Beer,12 oz.,5.20%,N/A
2476,The Grand Army,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,5.50%,N/A
2475,Slow Ride,New Belgium Brewing Company,"Fort Collins, CO",American IPA,12 oz.,4.50%,40
2474,Nooner,Sierra Nevada Brewing Company,"Chico, CA",German Pilsener,12 oz.,5.20%,N/A
2473,Hopvale Organic Ale,Summit Brewing Company,"St. Paul, MN",American Pale Ale (APA),16 oz.,4.70%,55
2472,U. P. Witbier,Keweenaw Brewing Company,"Houghton, MI",Witbier,12 oz.,???,N/A
2471,Hopkick Dropkick,Burn 'Em Brewing,"Michigan City, IN",American Double / Imperial IPA,12 oz.,9.90%,115
2470,Kreamed Corn,Burn 'Em Brewing,"Michigan City, IN",Cream Ale,12 oz.,6.00%,N/A
2469,Ryecoe,Big Lake Brewing,"Holland, MI",American IPA,16 oz.,6.20%,N/A
2468,Manitou Amber,Brewery Terra Firma,"Traverse City, MI",American Amber / Red Ale,16 oz.,5.30%,N/A
2467,Acidulated Trip,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,5.90%,N/A
2466,Root Stock,Brewery Vivant,"Grand Rapids, MI",Rye Beer,16 oz.,6.60%,N/A
2465,Mind Games,Brewery Vivant,"Grand Rapids, MI",Dunkelweizen,16 oz.,4.10%,N/A
2464,Coconoats,Burn 'Em Brewing,"Michigan City, IN",American Pale Wheat Ale,16 oz.,6.50%,N/A
